category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (SECONDARY),CORAL SECONDARY SCHOOL,SECONDARY,NA,31 PASIR RIS STREET 51,518901,Singapore,1.36753,103.94927
EDUCATION (SECONDARY),CRESCENT GIRLS' SCHOOL,SECONDARY,NA,357 TANGLIN ROAD,247961,Singapore,1.29402,103.81668
EDUCATION (SECONDARY),CREST SECONDARY SCHOOL,SECONDARY,NA,561 JURONG EAST STREET 24,609561,Singapore,1.34366,103.74286
EDUCATION (SECONDARY),DAMAI SECONDARY SCHOOL,SECONDARY,NA,4800 BEDOK RESERVOIR ROAD,479229,Singapore,1.33712,103.927
EDUCATION (SECONDARY),DEYI SECONDARY SCHOOL,SECONDARY,NA,1 ANG MO KIO STREET 42,569277,Singapore,1.36611,103.85233
EDUCATION (SECONDARY),DUNEARN SECONDARY SCHOOL,SECONDARY,NA,247 Jalan Boon Lay,619522,Singapore,1.34138,103.71071
EDUCATION (SECONDARY),DUNMAN HIGH SCHOOL,SECONDARY,NA,10 TANJONG RHU ROAD,436895,Singapore,1.29837,103.88226
EDUCATION (SECONDARY),DUNMAN SECONDARY SCHOOL,SECONDARY,NA,21 TAMPINES STREET 45,529093,Singapore,1.36106,103.95593
EDUCATION (SECONDARY),EAST SPRING SECONDARY SCHOOL,SECONDARY,NA,30 TAMPINES STREET 34,529231,Singapore,1.35682,103.96075
EDUCATION (SECONDARY),EAST VIEW SECONDARY SCHOOL,SECONDARY,NA,3 TAMPINES STREET 42,529177,Singapore,1.35813,103.94934
EDUCATION (SECONDARY),EDGEFIELD SECONDARY SCHOOL,SECONDARY,NA,36 PUNGGOL FIELD,828814,Singapore,1.40022,103.9023
EDUCATION (SECONDARY),EVERGREEN SECONDARY SCHOOL,SECONDARY,NA,11 WOODLANDS STREET 83,738489,Singapore,1.44154,103.79361
EDUCATION (SECONDARY),FAIRFIELD METHODIST SCHOOL (SECONDARY),SECONDARY,NA,102 Dover Road Fairfield Methodist Secondary,139649,Singapore,1.30178,103.78448
EDUCATION (SECONDARY),FAJAR SECONDARY SCHOOL,SECONDARY,NA,58 Chestnut Drive,679301,Singapore,1.36915,103.77019
EDUCATION (SECONDARY),FUCHUN SECONDARY SCHOOL,SECONDARY,NA,21 WOODLANDS AVENUE 1,739062,Singapore,1.43095,103.77733
EDUCATION (SECONDARY),FUHUA SECONDARY SCHOOL,SECONDARY,NA,5 JURONG WEST STREET 41,649410,Singapore,1.34728,103.72656
EDUCATION (SECONDARY),GAN ENG SENG SCHOOL,SECONDARY,NA,1 HENDERSON ROAD,159561,Singapore,1.28945,103.82374
EDUCATION (SECONDARY),GEYLANG METHODIST SCHOOL (SECONDARY),SECONDARY,NA,2 GEYLANG EAST CENTRAL,389705,Singapore,1.31769,103.88268
EDUCATION (SECONDARY),GREENDALE SECONDARY SCHOOL,SECONDARY,NA,51 EDGEDALE PLAINS,828866,Singapore,1.39699,103.91172
EDUCATION (SECONDARY),GREENRIDGE SECONDARY SCHOOL,SECONDARY,NA,32 BUKIT PANJANG RING ROAD,679938,Singapore,1.38206,103.77384
EDUCATION (SECONDARY),GREENVIEW SECONDARY SCHOOL,SECONDARY,NA,15 PASIR RIS STREET 21,518969,Singapore,1.36928,103.96273
EDUCATION (SECONDARY),GUANGYANG SECONDARY SCHOOL,SECONDARY,NA,8 BISHAN STREET 12,579807,Singapore,1.34469,103.85057
EDUCATION (SECONDARY),HAI SING CATHOLIC SCHOOL,SECONDARY,NA,9 PASIR RIS DRIVE 6,519421,Singapore,1.37445,103.95485
EDUCATION (SECONDARY),HENDERSON SECONDARY SCHOOL,SECONDARY,NA,100 HENDERSON RD,159544,Singapore,1.28535,103.81998
EDUCATION (SECONDARY),HILLGROVE SECONDARY SCHOOL,SECONDARY,NA,10 BUKIT BATOK STREET 52,659250,Singapore,1.35313,103.75317
EDUCATION (SECONDARY),HOLY INNOCENTS' HIGH SCHOOL,SECONDARY,NA,1191 UPPER SERANGOON ROAD,534786,Singapore,1.37115,103.89602
EDUCATION (SECONDARY),HONG KAH SECONDARY SCHOOL,SECONDARY,NA,931 JURONG WEST STREET 42,649370,Singapore,1.35218,103.7271
EDUCATION (SECONDARY),HOUGANG SECONDARY SCHOOL,SECONDARY,NA,2 HOUGANG STREET 93,534256,Singapore,1.37758,103.88214
EDUCATION (SECONDARY),HUA YI SECONDARY SCHOOL,SECONDARY,NA,60 JURONG WEST ST 42,649371,Singapore,1.35147,103.72158
EDUCATION (SECONDARY),JUNYUAN SECONDARY SCHOOL,SECONDARY,NA,11 TAMPINES STREET 84,528933,Singapore,1.35333,103.93352
EDUCATION (SECONDARY),JURONG SECONDARY SCHOOL,SECONDARY,NA,31 YUAN CHING ROAD,618652,Singapore,1.33037,103.72428
EDUCATION (SECONDARY),JURONGVILLE SECONDARY SCHOOL,SECONDARY,NA,202 JURONG EAST AVENUE 1,609790,Singapore,1.35166,103.7291
EDUCATION (SECONDARY),JURONG WEST SECONDARY SCHOOL,SECONDARY,NA,61 JURONG WEST STREET 65,648348,Singapore,1.33593,103.7016
EDUCATION (SECONDARY),JUYING SECONDARY SCHOOL,SECONDARY,NA,33 JURONG WEST STREET 91,649038,Singapore,1.33953,103.68723
EDUCATION (SECONDARY),KENT RIDGE SECONDARY SCHOOL,SECONDARY,NA,147 WEST COAST ROAD,127368,Singapore,1.30138,103.76494
EDUCATION (SECONDARY),KRANJI SECONDARY SCHOOL,SECONDARY,NA,61 CHOA CHU KANG STREET 51,689333,Singapore,1.38168,103.75652
EDUCATION (SECONDARY),KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,SECONDARY,NA,10 BISHAN STREET 13,579795,Singapore,1.35014,103.85491
EDUCATION (SECONDARY),LOYANG SECONDARY SCHOOL,SECONDARY,NA,12 PASIR RIS STREET 11,519073,Singapore,1.36646,103.9574
EDUCATION (SECONDARY),MACPHERSON SECONDARY SCHOOL,SECONDARY,NA,121 CIRCUIT ROAD,379499,Singapore,1.32747,103.88887
EDUCATION (SECONDARY),MANJUSRI SECONDARY SCHOOL,SECONDARY,NA,20 UBI AVENUE 1,408940,Singapore,1.32741,103.90134
EDUCATION (SECONDARY),MARIS STELLA HIGH SCHOOL,SECONDARY,NA,25 MOUNT VERNON ROAD,368051,Singapore,1.34224,103.87828
EDUCATION (SECONDARY),MARSILING SECONDARY SCHOOL,SECONDARY,NA,12 MARSILING ROAD,739110,Singapore,1.4386,103.77634
EDUCATION (SECONDARY),MAYFLOWER SECONDARY SCHOOL,SECONDARY,NA,2 ANG MO KIO STREET 21,569384,Singapore,1.36863,103.83521
EDUCATION (SECONDARY),METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY,NA,11 BLACKMORE DRIVE,599986,Singapore,1.33289,103.78341
EDUCATION (SECONDARY),MONTFORT SECONDARY SCHOOL,SECONDARY,NA,50 HOUGANG AVENUE 8,538785,Singapore,1.37418,103.88697
EDUCATION (SECONDARY),NAN CHIAU HIGH SCHOOL,SECONDARY,NA,20 ANCHORVALE LINK,545079,Singapore,1.38935,103.88913
EDUCATION (SECONDARY),NAN HUA HIGH SCHOOL,SECONDARY,NA,41 CLEMENTI AVENUE 1,129956,Singapore,1.30837,103.76893
EDUCATION (SECONDARY),NANYANG GIRLS' HIGH SCHOOL,SECONDARY,NA,2 LINDEN DRIVE,288683,Singapore,1.33053,103.80235
EDUCATION (SECONDARY),NAVAL BASE SECONDARY SCHOOL,SECONDARY,NA,901 YISHUN RING ROAD,768689,Singapore,1.41894,103.83068
