category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (PRIMARY),DA QIAO PRIMARY SCHOOL,PRIMARY,NA,8 ANG MO KIO STREET 54,569185,Singapore,1.3719,103.85883
EDUCATION (PRIMARY),DAZHONG PRIMARY SCHOOL,PRIMARY,NA,35 BUKIT BATOK STREET 31,659441,Singapore,1.35938,103.74802
EDUCATION (PRIMARY),DE LA SALLE SCHOOL,PRIMARY,NA,11 Choa Chu Kang St 52,689285,Singapore,1.39489,103.74335
EDUCATION (PRIMARY),EAST COAST PRIMARY SCHOOL,PRIMARY,NA,8 CHAI CHEE LANE,469031,Singapore,1.32941,103.92012
EDUCATION (PRIMARY),EAST SPRING PRIMARY SCHOOL,PRIMARY,NA,31 TAMPINES ST 33,529258,Singapore,1.37938,103.96729
EDUCATION (PRIMARY),EAST VIEW PRIMARY SCHOOL,PRIMARY,NA,4 TAMPINES STREET 91,528907,Singapore,1.3468,103.93959
EDUCATION (PRIMARY),EDGEFIELD PRIMARY SCHOOL,PRIMARY,NA,41 EDGEFIELD PLAINS,828869,Singapore,1.40025,103.90759
EDUCATION (PRIMARY),ELIAS PARK PRIMARY SCHOOL,PRIMARY,NA,11 PASIR RIS STREET 52,518866,Singapore,1.37457,103.94558
EDUCATION (PRIMARY),ENDEAVOUR PRIMARY SCHOOL,PRIMARY,NA,10 Admiralty Link,757521,Singapore,1.45457,103.81718
EDUCATION (PRIMARY),EUNOS PRIMARY SCHOOL,PRIMARY,NA,95 JALAN EUNOS Eunos Primary School,419529,Singapore,1.32452,103.9043
EDUCATION (PRIMARY),EVERGREEN PRIMARY SCHOOL,PRIMARY,NA,31 WOODLANDS CIRCLE,738908,Singapore,1.44393,103.79483
EDUCATION (PRIMARY),FAIRFIELD METHODIST SCHOOL (PRIMARY),PRIMARY,NA,100 DOVER ROAD,139648,Singapore,1.30014,103.78522
EDUCATION (PRIMARY),FARRER PARK PRIMARY SCHOOL,PRIMARY,NA,2 FARRER PARK ROAD,217567,Singapore,1.31224,103.85074
EDUCATION (PRIMARY),FENGSHAN PRIMARY SCHOOL,PRIMARY,NA,307 BEDOK NORTH ROAD,469680,Singapore,1.33023,103.93181
EDUCATION (PRIMARY),FERNVALE PRIMARY SCHOOL,PRIMARY,NA,1 Fernvale Lane,797701,Singapore,1.38995,103.87392
EDUCATION (PRIMARY),FIRST TOA PAYOH PRIMARY SCHOOL,PRIMARY,NA,7 LORONG 8 TOA PAYOH,319252,Singapore,1.34016,103.85559
EDUCATION (PRIMARY),FRONTIER PRIMARY SCHOOL,PRIMARY,NA,20 Jurong West Street 61,648200,Singapore,1.33684,103.69977
EDUCATION (PRIMARY),FUCHUN PRIMARY SCHOOL,PRIMARY,NA,23 WOODLANDS AVENUE 1,739063,Singapore,1.4303,103.77809
EDUCATION (PRIMARY),FUHUA PRIMARY SCHOOL,PRIMARY,NA,65 JURONG EAST STREET 13,609647,Singapore,1.33638,103.73722
EDUCATION (PRIMARY),GAN ENG SENG PRIMARY SCHOOL,PRIMARY,NA,100 REDHILL CLOSE,158901,Singapore,1.28576,103.81526
EDUCATION (PRIMARY),GEYLANG METHODIST SCHOOL (PRIMARY),PRIMARY,NA,4 Geylang East Central,389706,Singapore,1.31821,103.88336
EDUCATION (PRIMARY),GONGSHANG PRIMARY SCHOOL,PRIMARY,NA,1 TAMPINES STREET 42,529176,Singapore,1.35718,103.94917
EDUCATION (PRIMARY),GREENDALE PRIMARY SCHOOL,PRIMARY,NA,50 Edgedale Plains,828848,Singapore,1.39642,103.91259
EDUCATION (PRIMARY),GREENRIDGE PRIMARY SCHOOL,PRIMARY,NA,11 JELAPANG ROAD,677744,Singapore,1.38566,103.76793
EDUCATION (PRIMARY),GREENWOOD PRIMARY SCHOOL,PRIMARY,NA,11 WOODLANDS DR 62,737942,Singapore,1.44009,103.80471
EDUCATION (PRIMARY),GUANGYANG PRIMARY SCHOOL,PRIMARY,NA,6 Bishan Street 12,579806,Singapore,1.34589,103.84932
EDUCATION (PRIMARY),HAIG GIRLS' SCHOOL,PRIMARY,NA,860 NEW UPPER CHANGI ROAD,467353,Singapore,1.31163,103.90282
EDUCATION (PRIMARY),HENRY PARK PRIMARY SCHOOL,PRIMARY,NA,1 HOLLAND GROVE ROAD,278790,Singapore,1.31678,103.78414
EDUCATION (PRIMARY),HOLY INNOCENTS' PRIMARY SCHOOL,PRIMARY,NA,5 LORONG LOW KOON Holy Innocents' Primary School,536451,Singapore,1.36675,103.89372
EDUCATION (PRIMARY),HORIZON PRIMARY SCHOOL,PRIMARY,NA,61 Edgedale Plains,828819,Singapore,1.39982,103.91313
EDUCATION (PRIMARY),HOUGANG PRIMARY SCHOOL,PRIMARY,NA,1 HOUGANG ST 93,534238,Singapore,1.37803,103.88087
EDUCATION (PRIMARY),HUAMIN PRIMARY SCHOOL,PRIMARY,NA,21 YISHUN AVENUE 11,768857,Singapore,1.42709,103.84426
EDUCATION (PRIMARY),INNOVA PRIMARY SCHOOL,PRIMARY,NA,80 Woodlands Drive 17,737888,Singapore,1.42923,103.79049
EDUCATION (PRIMARY),JIEMIN PRIMARY SCHOOL,PRIMARY,NA,2 YISHUN STREET 71,768515,Singapore,1.42767,103.8305
EDUCATION (PRIMARY),JING SHAN PRIMARY SCHOOL,PRIMARY,NA,5 ANG MO KIO ST 52,569228,Singapore,1.37233,103.85171
EDUCATION (PRIMARY),JUNYUAN PRIMARY SCHOOL,PRIMARY,NA,2 Tampines Street 91,528906,Singapore,1.35719,103.92664
EDUCATION (PRIMARY),JURONG PRIMARY SCHOOL,PRIMARY,NA,320 JURONG EAST Street 32,609476,Singapore,1.3484,103.73244
EDUCATION (PRIMARY),JURONG WEST PRIMARY SCHOOL,PRIMARY,NA,30 JURONG WEST ST 61,648368,Singapore,1.33919,103.69895
EDUCATION (PRIMARY),JUYING PRIMARY SCHOOL,PRIMARY,NA,31 JURONG WEST STREET 91,649037,Singapore,1.3393,103.68817
EDUCATION (PRIMARY),KEMING PRIMARY SCHOOL,PRIMARY,NA,90 BUKIT BATOK EAST AVENUE 6,659762,Singapore,1.34542,103.75625
EDUCATION (PRIMARY),KHENG CHENG SCHOOL,PRIMARY,NA,15 LORONG 3 TOA PAYOH,319580,Singapore,1.33767,103.8478
EDUCATION (PRIMARY),KONG HWA SCHOOL,PRIMARY,NA,350 GUILLEMARD ROAD,399772,Singapore,1.36169,103.83276
EDUCATION (PRIMARY),KRANJI PRIMARY SCHOOL,PRIMARY,NA,11 CHOA CHU KANG STREET 54,689189,Singapore,1.39407,103.7472
EDUCATION (PRIMARY),KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,NA,8 BISHAN STREET 13,579793,Singapore,1.34912,103.85473
EDUCATION (PRIMARY),LAKESIDE PRIMARY SCHOOL,PRIMARY,NA,161 Corporation Walk,618310,Singapore,1.33846,103.71815
EDUCATION (PRIMARY),LIANHUA PRIMARY SCHOOL,PRIMARY,NA,2 BUKIT BATOK STREET 52,659243,Singapore,1.35361,103.75443
EDUCATION (PRIMARY),LOYANG PRIMARY SCHOOL,PRIMARY,NA,3 PASIR RIS DRIVE 6,519419,Singapore,1.37093,103.95595
EDUCATION (PRIMARY),MACPHERSON PRIMARY SCHOOL,PRIMARY,NA,2 MATTAR ROAD,387724,Singapore,1.32478,103.88163
EDUCATION (PRIMARY),MAHA BODHI SCHOOL,PRIMARY,NA,10 UBI AVENUE 1,408931,Singapore,1.32841,103.90153
EDUCATION (PRIMARY),MARSILING PRIMARY SCHOOL,PRIMARY,NA,31 WOODLANDS CENTRE ROAD,738927,Singapore,1.43412,103.77298
EDUCATION (PRIMARY),MAYFLOWER PRIMARY SCHOOL,PRIMARY,NA,200 ANG MO KIO AVE 5,569878,Singapore,1.37664,103.8432
EDUCATION (PRIMARY),MEE TOH SCHOOL,PRIMARY,NA,21 EDGEDALE PLAINS,828867,Singapore,1.39477,103.90893
EDUCATION (PRIMARY),MERIDIAN PRIMARY SCHOOL,PRIMARY,NA,20 PASIR RIS ST 71,518798,Singapore,1.37603,103.93505
EDUCATION (PRIMARY),METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,NA,11 Blackmore Drive,599986,Singapore,1.33289,103.78341
EDUCATION (PRIMARY),NAN CHIAU PRIMARY SCHOOL,PRIMARY,NA,50 ANCHORVALE LINK,545080,Singapore,1.39208,103.89093
EDUCATION (PRIMARY),NAN HUA PRIMARY SCHOOL,PRIMARY,NA,30 JALAN LEMPENG,128806,Singapore,1.31961,103.76151
EDUCATION (PRIMARY),NANYANG PRIMARY SCHOOL,PRIMARY,NA,52 KING'S ROAD,268097,Singapore,1.32109,103.80771
EDUCATION (PRIMARY),NAVAL BASE PRIMARY SCHOOL,PRIMARY,NA,7 YISHUN AVE 4,769028,Singapore,1.41611,103.83908
EDUCATION (PRIMARY),NEW TOWN PRIMARY SCHOOL,PRIMARY,NA,300 Tanglin Halt Road,148812,Singapore,1.30001,103.80007
EDUCATION (PRIMARY),NGEE ANN PRIMARY SCHOOL,PRIMARY,NA,344 MARINE TERRACE,449149,Singapore,1.30562,103.91801
EDUCATION (PRIMARY),NORTHLAND PRIMARY SCHOOL,PRIMARY,NA,15 YISHUN AVENUE 4,769026,Singapore,1.42116,103.84058
EDUCATION (PRIMARY),NORTHOAKS PRIMARY SCHOOL,PRIMARY,NA,61 Sembawang Drive,757622,Singapore,1.45664,103.81383
EDUCATION (PRIMARY),NORTH SPRING PRIMARY SCHOOL,PRIMARY,NA,1 RIVERVALE STREET,545088,Singapore,1.38688,103.90361
EDUCATION (PRIMARY),NORTH VIEW PRIMARY SCHOOL,PRIMARY,NA,210 YISHUN AVENUE 6,768960,Singapore,1.4276199999999999,103.84831
EDUCATION (PRIMARY),NORTH VISTA PRIMARY SCHOOL,PRIMARY,NA,20 Compassvale Link,544974,Singapore,1.38292,103.89609
EDUCATION (PRIMARY),OASIS PRIMARY SCHOOL,PRIMARY,NA,71 Edgefield Plains,828716,Singapore,1.40429,103.91096
EDUCATION (PRIMARY),OPERA ESTATE PRIMARY SCHOOL,PRIMARY,NA,48 FIDELIO STREET,458436,Singapore,1.31937,103.92422
EDUCATION (PRIMARY),PALM VIEW PRIMARY SCHOOL,PRIMARY,NA,150 Compassvale Bow,544822,Singapore,1.38401,103.89108
EDUCATION (PRIMARY),PARK VIEW PRIMARY SCHOOL,PRIMARY,NA,60 PASIR RIS DRIVE 1,519524,Singapore,1.37771,103.93953
EDUCATION (PRIMARY),PASIR RIS PRIMARY SCHOOL,PRIMARY,NA,5 PASIR RIS STREET 21,518968,Singapore,1.37221,103.9628
EDUCATION (PRIMARY),PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,NA,298 LORONG AH SOO,536741,Singapore,1.35046,103.88522
EDUCATION (PRIMARY),PEI CHUN PUBLIC SCHOOL,PRIMARY,NA,16 TOA PAYOH LORONG 7,319320,Singapore,1.33324,103.85896
EDUCATION (PRIMARY),PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,NA,7 PEI WAH AVENUE,597610,Singapore,1.33808,103.77613
EDUCATION (PRIMARY),PEI TONG PRIMARY SCHOOL,PRIMARY,NA,15 CLEMENTI AVENUE 5,129857,Singapore,1.31612,103.76759
EDUCATION (PRIMARY),PEIYING PRIMARY SCHOOL,PRIMARY,NA,651 YISHUN RING ROAD,768687,Singapore,1.41753,103.83026
