category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kaki Bukit Blk 519 (KN),ELEMENTARY,KINDERGARTEN,519 Bedok North Avenue 1 Blk 545 #01-372 S(460519),460519,Singapore,1.330874641,103.9280591
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kaki Bukit Blk 526 (KN),ELEMENTARY,KINDERGARTEN,526 Bedok North Street 3  #01-462 S(460526),460526,Singapore,1.334215516,103.9291298
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kampong Chai Chee Blk 135 (KN),ELEMENTARY,KINDERGARTEN,135 Bedok North Street 2  #01-137 S(460135),460135,Singapore,1.328732009,103.9365067
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kampong Chai Chee Blk 775 (KN),ELEMENTARY,KINDERGARTEN,775 Bedok Reservoir View  #01-333 S(470775),470775,Singapore,1.336550009,103.935822
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kampong Glam Blk 462 (DS),ELEMENTARY,KINDERGARTEN,462 Crawford Lane  #03-33 S(190462),190462,Singapore,1.304586177,103.8608408
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Keat Hong Blk 295 (DS),ELEMENTARY,KINDERGARTEN,295 Choa Chu Kang Avenue 2  #01-169 S(680295),680295,Singapore,1.378166429,103.740968
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Keat Hong Blk 411 (DS),ELEMENTARY,KINDERGARTEN,411 Choa Chu Kang Avenue 3  #01-359 S(680411),680411,Singapore,1.381059792,103.7412602
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kembangan Chai Chee Blk 116 (DS),ELEMENTARY,KINDERGARTEN,116 Lengkong Tiga  #01-187 S(410116),410116,Singapore,1.322785328,103.911863
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kembangan Chai Chee Blk 326 (KN),ELEMENTARY,KINDERGARTEN,326 Ubi Avenue 1  #01-675 S(400326),400326,Singapore,1.327177432,103.9038015
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kembangan Chai Chee Blk 59 (KN),ELEMENTARY,KINDERGARTEN,59 Chai Chee Road  #01-878 S(460059),460059,Singapore,1.32488916,103.9202467
EDUCATION (ELEMENTARY),PCF SPARKLETOTS PRESCHOOL @ KRETA AYER-KIM SENG BLK 79 (DS),ELEMENTARY,KINDERGARTEN,"79, INDUS ROAD, #01 - 435, INDUS GARDEN, SINGAPORE 161079",161079,Singapore,1.291074616,103.8286902
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Kreta Ayer-Kim Seng Blk 8 (DS),ELEMENTARY,KINDERGARTEN,"8, UPPER BOON KENG ROAD, #01 - 03, MULTI STOREY CAR PARK, SINGAPORE 380008",380008,Singapore,1.312984493,103.8704303
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Macpherson Blk 108 (KN),ELEMENTARY,KINDERGARTEN,108 Aljunied Cres Blk 17 #01-36 S(380108),380108,Singapore,1.319012755,103.8851688
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Macpherson Blk 31 (KN),ELEMENTARY,KINDERGARTEN,31 Balam Road  #01-103 S(370031),370031,Singapore,1.329682321,103.885408
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Marine Parade Blk 46 (DS),ELEMENTARY,KINDERGARTEN,46 Marine Crescent Blk 47 #01-42 S(440046),440046,Singapore,1.305104743,103.9126596
